repo,stage,error
google-gemini/gemini-cli,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/google-gemini/gemini-cli/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
microsoft/terminal,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/microsoft/terminal/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
supabase/supabase,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/supabase/supabase/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
angular/angular,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/angular/angular/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
Anduin2017/HowToCook,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Anduin2017/HowToCook/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
pytorch/pytorch,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/pytorch/pytorch/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
immich-app/immich,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/immich-app/immich/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
neovim/neovim,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/neovim/neovim/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
mtdvio/every-programmer-should-know,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/mtdvio/every-programmer-should-know/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
openai/whisper,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/openai/whisper/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
ant-design/ant-design,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/ant-design/ant-design/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
mui/material-ui,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/mui/material-ui/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
fastapi/fastapi,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/fastapi/fastapi/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
nvbn/thefuck,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/nvbn/thefuck/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
microsoft/Web-Dev-For-Beginners,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/microsoft/Web-Dev-For-Beginners/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
tailwindlabs/tailwindcss,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/tailwindlabs/tailwindcss/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
iluwatar/java-design-patterns,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/iluwatar/java-design-patterns/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
ryanmcdermott/clean-code-javascript,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/ryanmcdermott/clean-code-javascript/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
puppeteer/puppeteer,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/puppeteer/puppeteer/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
florinpop17/app-ideas,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/florinpop17/app-ideas/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
